Location,Population 1-17,Population 1-17 CI,State Flow In,State Flow In CI,Int. Flow In, Int. Flow In CI,State Flow Out,State Flow Out CI
MS,708500,15574,16845,10304,1517,1584,17541,10554
OK,862376,13171,27077,11791,3143,2296,21396,10668
WY,118607,3510,6178,3574,447,520,5772,3465
MN,1212444,13497,19431,9252,6179,3670,18505,9948
IL,2985874,20278,39909,14692,12189,5191,57185,16777
AR,668294,14204,22178,12550,1767,1705,16461,10033
NM,479116,7731,14960,6736,1957,1700,14467,6485
IN,1522650,19825,31601,15082,4774,4038,28441,14944
MD,1288860,8702,30521,8782,9403,4091,32637,9905
LA,1045342,15081,22983,11260,2564,2597,30743,12269
TX,6293195,57541,130590,40657,38063,15916,93761,32250
WI,1275697,12775,19284,9670,3284,2427,20534,10743
IA,678519,14390,17650,10972,2423,2282,14416,9686
AZ,1522631,6935,48017,8359,9724,3052,40835,7228
MI,2301891,17059,25121,11960,9759,4551,36543,14471
KS,670258,12546,23180,10159,2960,2120,18895,8972
UT,782267,6615,22118,6317,3848,1721,17298,5548
VA,1736617,28536,54923,22754,11436,6402,50127,21502
OR,817358,8542,22662,8878,3441,2397,19784,8009
CT,789457,3482,14383,3675,4942,1927,15728,4536
NY,4155737,21158,38023,15002,25687,9412,75066,22124
NH,283371,2743,7198,3084,1085,816,6878,3086
MA,1359676,6181,19421,5748,9999,3673,23471,6836
WV,362208,9133,9666,6566,761,992,9477,6475
SC,1011696,12410,32583,13122,3638,2908,23540,9791
CA,8838316,29035,83504,22359,51251,14534,131342,27026
VT,126394,2198,3111,1753,460,433,2618,1741
GA,2313951,38083,72351,27684,9676,6700,56552,24873
ND,134068,4179,4775,2915,525,511,4071,2240
HI,283889,1686,9665,1931,3033,921,15103,2439
PA,2680942,17742,43576,16273,10268,5802,37491,16113
PR,880171,11259,8916,7422,983,1086,0,0
FL,3802347,27302,93476,26482,29266,11368,100818,27330
AK,172141,3625,7793,2916,1074,864,17297,4987
KY,953299,22741,25714,15034,3038,2516,20069,12789
RI,219119,1752,4638,1828,1721,1005,5431,2204
NE,423338,9020,11444,6119,1450,1119,9448,5216
MO,1351023,20082,31239,15120,3503,2924,32024,15866
OH,2626480,23570,37522,17683,7289,4863,37443,16986
AL,1069795,14015,27088,13195,3194,2818,21762,11209
SD,180161,6525,5062,3723,467,527,4820,3322
CO,1129313,12733,38790,11853,5801,3673,31615,10795
ID,394675,7352,14990,7277,2520,2040,11670,5763
NJ,1978208,10277,25198,8696,12166,5307,37042,11650
WA,1475364,10751,40520,11339,12110,4663,34851,10727
NC,2102963,26642,65898,24918,9730,6378,47403,19660
TN,1399624,22192,38024,17113,4481,3526,32593,14555
MT,207153,6391,7507,4650,653,769,5547,3452
DC,95567,615,3069,715,708,315,8385,1189
NV,619565,5176,26541,5141,3602,1403,22971,4282
DE,195099,1231,7045,1820,645,425,5973,1767
ME,267489,3452,5273,2836,908,900,5312,3084
